30;0.3;53.577;365.576;338.532;21.419;32.158
31;0.31;53.527;350.774;324.088;21.176;32.35
32;0.32;53.435;336.633;310.299;20.917;32.518
33;0.33;53.305;323.124;297.136;20.644;32.661
34;0.34;53.141;310.215;284.566;20.358;32.783
35;0.35;52.944;297.879;272.563;20.061;32.883
36;0.36;52.718;286.086;261.098;19.754;32.964
37;0.37;52.466;274.813;250.146;19.439;33.027
38;0.38;52.191;264.034;239.682;19.117;33.073
39;0.39;51.893;253.727;229.684;18.79;33.103
40;0.4;51.577;243.868;220.13;18.459;33.118
41;0.41;51.243;234.437;210.998;18.124;33.119
42;0.42;50.894;225.414;202.268;17.786;33.108
43;0.43;50.531;216.781;193.923;17.447;33.084
44;0.44;50.155;208.518;185.943;17.107;33.049
45;0.45;49.769;200.609;178.312;16.766;33.003
46;0.46;49.374;193.038;171.014;16.426;32.948
47;0.47;48.971;185.789;164.033;16.087;32.883
48;0.48;48.56;178.848;157.355;15.75;32.811
49;0.49;48.144;172.2;150.966;15.414;32.73
50;0.5;47.723;165.832;144.853;15.081;32.642
51;0.51;47.298;159.731;139.002;14.751;32.547
52;0.52;46.87;153.886;133.402;14.424;32.447
53;0.53;46.44;148.284;128.042;14.1;32.34
54;0.54;46.008;142.916;122.911;13.78;32.228
55;0.55;45.575;137.77;117.998;13.464;32.111
56;0.56;45.142;132.836;113.294;13.152;31.99
57;0.57;44.709;128.106;108.788;12.845;31.865
58;0.58;44.277;123.569;104.473;12.542;31.735
59;0.59;43.846;119.219;100.34;12.244;31.603
60;0.6;43.417;115.045;96.381;11.95;31.467
61;0.61;42.99;111.042;92.587;11.662;31.328
62;0.62;42.565;107.2;88.952;11.378;31.187
63;0.63;42.143;103.513;85.469;11.1;31.044
64;0.64;41.724;99.975;82.131;10.826;30.898
65;0.65;41.309;96.579;78.931;10.558;30.751
66;0.66;40.896;93.318;75.864;10.295;30.602
67;0.67;40.488;90.187;72.923;10.037;30.451
68;0.68;40.083;87.181;70.103;9.784;30.299
69;0.69;39.683;84.294;67.4;9.536;30.146
70;0.7;39.286;81.52;64.807;9.294;29.992
71;0.71;38.894;78.855;62.32;9.057;29.838
72;0.72;38.507;76.295;59.935;8.824;29.682
73;0.73;38.124;73.835;57.646;8.597;29.527
74;0.74;37.745;71.47;55.451;8.375;29.371
75;0.75;37.372;69.198;53.345;8.158;29.214
76;0.76;37.003;67.013;51.324;7.945;29.058
77;0.77;36.639;64.912;49.384;7.738;28.901
78;0.78;36.28;62.892;47.522;7.535;28.745
79;0.79;35.925;60.949;45.736;7.337;28.588
80;0.8;35.576;59.08;44.02;7.144;28.432
81;0.81;35.231;57.282;42.373;6.955;28.276
82;0.82;34.892;55.552;40.792;6.771;28.121
83;0.83;34.557;53.888;39.274;6.591;27.966
84;0.84;34.227;52.286;37.816;6.416;27.811
85;0.85;33.902;50.744;36.416;6.245;27.657
86;0.86;33.582;49.259;35.071;6.078;27.504
87;0.87;33.266;47.83;33.779;5.915;27.351
88;0.88;32.956;46.454;32.538;5.757;27.199
89;0.89;32.65;45.128;31.346;5.602;27.048
90;0.9;32.349;43.851;30.2;5.451;26.897
91;0.91;32.052;42.621;29.099;5.304;26.748
92;0.92;31.76;41.436;28.041;5.161;26.599
93;0.93;31.473;40.294;27.024;5.022;26.451
94;0.94;31.19;39.194;26.047;4.886;26.304
95;0.95;30.912;38.133;25.107;4.754;26.158
96;0.96;30.638;37.11;24.204;4.625;26.013
97;0.97;30.368;36.124;23.336;4.499;25.869
98;0.98;30.103;35.173;22.501;4.377;25.726
99;0.99;29.842;34.256;21.698;4.258;25.584
100;1;29.585;33.371;20.926;4.142;25.443
101;1.01;29.333;32.518;20.183;4.029;25.304
102;1.02;29.084;31.694;19.469;3.919;25.165
103;1.03;28.84;30.9;18.782;3.812;25.027
104;1.04;28.599;30.133;18.121;3.708;24.89
105;1.05;28.362;29.392;17.485;3.607;24.755
106;1.06;28.129;28.677;16.873;3.509;24.621
107;1.07;27.9;27.987;16.284;3.413;24.487
108;1.08;27.674;27.32;15.717;3.319;24.355
109;1.09;27.452;26.677;15.172;3.229;24.224
110;1.1;27.234;26.055;14.647;3.14;24.094
111;1.11;27.019;25.454;14.141;3.054;23.965
112;1.12;26.808;24.873;13.655;2.971;23.837
113;1.13;26.6;24.312;13.187;2.89;23.711
114;1.14;26.396;23.769;12.736;2.811;23.585
115;1.15;26.194;23.245;12.302;2.734;23.461
116;1.16;25.996;22.738;11.884;2.659;23.337
117;1.17;25.801;22.247;11.481;2.586;23.215
118;1.18;25.609;21.773;11.093;2.515;23.094
119;1.19;25.421;21.314;10.719;2.447;22.974
120;1.2;25.235;20.87;10.36;2.38;22.855
121;1.21;25.052;20.44;10.013;2.315;22.737
122;1.22;24.872;20.024;9.679;2.252;22.621
123;1.23;24.695;19.622;9.357;2.19;22.505
124;1.24;24.521;19.232;9.047;2.13;22.39
125;1.25;24.349;18.855;8.748;2.072;22.277
126;1.26;24.18;18.489;8.46;2.016;22.164
127;1.27;24.014;18.135;8.182;1.961;22.053
128;1.28;23.85;17.792;7.915;1.907;21.943
129;1.29;23.689;17.46;7.657;1.855;21.833
130;1.3;23.53;17.138;7.408;1.805;21.725
131;1.31;23.373;16.825;7.168;1.756;21.618
132;1.32;23.219;16.523;6.937;1.708;21.511
133;1.33;23.068;16.229;6.714;1.662;21.406
134;1.34;22.918;15.945;6.499;1.617;21.302
135;1.35;22.771;15.669;6.291;1.573;21.198
136;1.36;22.626;15.401;6.091;1.53;21.096
137;1.37;22.484;15.141;5.898;1.489;20.995
138;1.38;22.343;14.889;5.712;1.449;20.894
139;1.39;22.204;14.644;5.533;1.41;20.795
140;1.4;22.068;14.407;5.359;1.372;20.696
141;1.41;21.933;14.176;5.192;1.335;20.599
142;1.42;21.801;13.952;5.031;1.299;20.502
143;1.43;21.67;13.734;4.875;1.264;20.406
144;1.44;21.541;13.523;4.724;1.23;20.311
145;1.45;21.414;13.317;4.579;1.197;20.217
146;1.46;21.289;13.118;4.439;1.165;20.124
147;1.47;21.166;12.924;4.304;1.134;20.032
148;1.48;21.044;12.735;4.173;1.104;19.941
149;1.49;20.925;12.552;4.047;1.074;19.85
150;1.5;20.806;12.373;3.925;1.045;19.761
151;1.51;20.69;12.2;3.808;1.018;19.672
152;1.52;20.575;12.031;3.694;0.991;19.584
153;1.53;20.461;11.867;3.584;0.964;19.497
154;1.54;20.35;11.707;3.479;0.939;19.411
155;1.55;20.239;11.552;3.376;0.914;19.325
156;1.56;20.13;11.4;3.277;0.89;19.24
157;1.57;20.023;11.253;3.182;0.867;19.156
158;1.58;19.917;11.109;3.089;0.844;19.073
159;1.59;19.813;10.969;3;0.822;18.991
160;1.6;19.709;10.833;2.914;0.8;18.909
161;1.61;19.608;10.7;2.83;0.779;18.828
162;1.62;19.507;10.57;2.75;0.759;18.748
163;1.63;19.408;10.444;2.672;0.739;18.669
164;1.64;19.31;10.321;2.596;0.72;18.59
165;1.65;19.213;10.201;2.524;0.701;18.512
166;1.66;19.118;10.084;2.453;0.683;18.435
167;1.67;19.024;9.97;2.385;0.665;18.358
168;1.68;18.931;9.858;2.319;0.648;18.282
169;1.69;18.839;9.75;2.255;0.632;18.207
170;1.7;18.748;9.643;2.194;0.615;18.133
171;1.71;18.659;9.54;2.134;0.6;18.059
172;1.72;18.57;9.439;2.076;0.584;17.986
173;1.73;18.483;9.34;2.021;0.569;17.913
174;1.74;18.396;9.243;1.967;0.555;17.841
175;1.75;18.311;9.149;1.914;0.541;17.77
176;1.76;18.227;9.057;1.864;0.527;17.699
177;1.77;18.143;8.967;1.815;0.514;17.629
178;1.78;18.061;8.878;1.767;0.501;17.56
179;1.79;17.98;8.792;1.721;0.488;17.491
180;1.8;17.899;8.708;1.677;0.476;17.423
181;1.81;17.82;8.626;1.634;0.464;17.355
182;1.82;17.741;8.545;1.592;0.453;17.288
183;1.83;17.663;8.466;1.552;0.442;17.222
184;1.84;17.587;8.389;1.513;0.431;17.156
185;1.85;17.511;8.314;1.475;0.42;17.091
186;1.86;17.436;8.24;1.438;0.41;17.026
187;1.87;17.361;8.167;1.403;0.4;16.962
188;1.88;17.288;8.096;1.368;0.39;16.898
189;1.89;17.215;8.027;1.335;0.38;16.835
190;1.9;17.143;7.959;1.302;0.371;16.772
191;1.91;17.072;7.892;1.271;0.362;16.71
192;1.92;17.002;7.827;1.241;0.353;16.649
193;1.93;16.932;7.763;1.211;0.345;16.587
194;1.94;16.864;7.7;1.183;0.337;16.527
195;1.95;16.796;7.638;1.155;0.329;16.467
196;1.96;16.728;7.578;1.128;0.321;16.407
197;1.97;16.661;7.519;1.102;0.313;16.348
198;1.98;16.595;7.461;1.077;0.306;16.29
199;1.99;16.53;7.404;1.052;0.299;16.231
200;2;16.466;7.348;1.029;0.292;16.174
