"year";"month";"FISHING_COEFFICIENT";"fleet_segment"
"";"seed";1;"ITA_TM_VL_1218"
"2008";"Jan";0.695652173913043;"ITA_TM_VL_1218"
"2008";"Feb";0.695652173913043;"ITA_TM_VL_1218"
"2008";"Mar";1.21739130434783;"ITA_TM_VL_1218"
"2008";"Apr";1.91304347826087;"ITA_TM_VL_1218"
"2008";"May";1.73913043478261;"ITA_TM_VL_1218"
"2008";"Jun";1.04347826086957;"ITA_TM_VL_1218"
"2008";"Jul";1.91304347826087;"ITA_TM_VL_1218"
"2008";"Aug";0;"ITA_TM_VL_1218"
"2008";"Sep";0.695652173913043;"ITA_TM_VL_1218"
"2008";"Oct";0.869565217391304;"ITA_TM_VL_1218"
"2008";"Nov";0.695652173913043;"ITA_TM_VL_1218"
"2008";"Dec";0.521739130434783;"ITA_TM_VL_1218"
"2009";"Jan";0.987760591795562;"ITA_TM_VL_1218"
"2009";"Feb";1.18531271015467;"ITA_TM_VL_1218"
"2009";"Mar";1.31701412239408;"ITA_TM_VL_1218"
"2009";"Apr";0.890921318090114;"ITA_TM_VL_1218"
"2009";"May";1.06910558170814;"ITA_TM_VL_1218"
"2009";"Jun";1.18789509078682;"ITA_TM_VL_1218"
"2009";"Jul";1.06910558170814;"ITA_TM_VL_1218"
"2009";"Aug";0.0692400806993948;"ITA_TM_VL_1218"
"2009";"Sep";1.03860121049092;"ITA_TM_VL_1218"
"2009";"Oct";1.10784129119032;"ITA_TM_VL_1218"
"2009";"Nov";1.24632145258911;"ITA_TM_VL_1218"
"2009";"Dec";0.830880968392737;"ITA_TM_VL_1218"
"2010";"Jan";1.22673113451908;"ITA_TM_VL_1218"
"2010";"Feb";0.920048350889311;"ITA_TM_VL_1218"
"2010";"Mar";1.22673113451908;"ITA_TM_VL_1218"
"2010";"Apr";1.30340183042652;"ITA_TM_VL_1218"
"2010";"May";1.1024002762908;"ITA_TM_VL_1218"
"2010";"Jun";1.1024002762908;"ITA_TM_VL_1218"
"2010";"Jul";1.18114315316871;"ITA_TM_VL_1218"
"2010";"Aug";0;"ITA_TM_VL_1218"
"2010";"Sep";0.866171645657054;"ITA_TM_VL_1218"
"2010";"Oct";1.02365739941288;"ITA_TM_VL_1218"
"2010";"Nov";1.02365739941288;"ITA_TM_VL_1218"
"2010";"Dec";1.02365739941288;"ITA_TM_VL_1218"
"2011";"Jan";1.49657377798081;"ITA_TM_VL_1218"
"2011";"Feb";0.997715851987209;"ITA_TM_VL_1218"
"2011";"Mar";1.09748743718593;"ITA_TM_VL_1218"
"2011";"Apr";1.34335312928278;"ITA_TM_VL_1218"
"2011";"May";1.34335312928278;"ITA_TM_VL_1218"
"2011";"Jun";1.32553677478301;"ITA_TM_VL_1218"
"2011";"Jul";0.962083142987666;"ITA_TM_VL_1218"
"2011";"Aug";0;"ITA_TM_VL_1218"
"2011";"Sep";0;"ITA_TM_VL_1218"
"2011";"Oct";1.04924623115578;"ITA_TM_VL_1218"
"2011";"Nov";1.2400182731841;"ITA_TM_VL_1218"
"2011";"Dec";1.14463225216994;"ITA_TM_VL_1218"
"2012";"Jan";1.09090909090909;"ITA_TM_VL_1218"
"2012";"Feb";0.654545454545455;"ITA_TM_VL_1218"
"2012";"Mar";1.30909090909091;"ITA_TM_VL_1218"
"2012";"Apr";1.41818181818182;"ITA_TM_VL_1218"
"2012";"May";1.63636363636364;"ITA_TM_VL_1218"
"2012";"Jun";1.09090909090909;"ITA_TM_VL_1218"
"2012";"Jul";0.545454545454546;"ITA_TM_VL_1218"
"2012";"Aug";0.218181818181818;"ITA_TM_VL_1218"
"2012";"Sep";1.09090909090909;"ITA_TM_VL_1218"
"2012";"Oct";0.981818181818182;"ITA_TM_VL_1218"
"2012";"Nov";0.872727272727273;"ITA_TM_VL_1218"
"2012";"Dec";1.09090909090909;"ITA_TM_VL_1218"
"2013";"Jan";1.27868852459016;"ITA_TM_VL_1218"
"2013";"Feb";0.885245901639344;"ITA_TM_VL_1218"
"2013";"Mar";0.885245901639344;"ITA_TM_VL_1218"
"2013";"Apr";1.18032786885246;"ITA_TM_VL_1218"
"2013";"May";1.27868852459016;"ITA_TM_VL_1218"
"2013";"Jun";1.27868852459016;"ITA_TM_VL_1218"
"2013";"Jul";0.885245901639344;"ITA_TM_VL_1218"
"2013";"Aug";0;"ITA_TM_VL_1218"
"2013";"Sep";0.983606557377049;"ITA_TM_VL_1218"
"2013";"Oct";1.08196721311475;"ITA_TM_VL_1218"
"2013";"Nov";1.08196721311475;"ITA_TM_VL_1218"
"2013";"Dec";1.18032786885246;"ITA_TM_VL_1218"
"2014";"Jan";1.27868852459016;"ITA_TM_VL_1218"
"2014";"Feb";0.885245901639344;"ITA_TM_VL_1218"
"2014";"Mar";0.885245901639344;"ITA_TM_VL_1218"
"2014";"Apr";1.18032786885246;"ITA_TM_VL_1218"
"2014";"May";1.27868852459016;"ITA_TM_VL_1218"
"2014";"Jun";1.27868852459016;"ITA_TM_VL_1218"
"2014";"Jul";0.885245901639344;"ITA_TM_VL_1218"
"2014";"Aug";0;"ITA_TM_VL_1218"
"2014";"Sep";0.983606557377049;"ITA_TM_VL_1218"
"2014";"Oct";1.08196721311475;"ITA_TM_VL_1218"
"2014";"Nov";1.08196721311475;"ITA_TM_VL_1218"
"2014";"Dec";1.18032786885246;"ITA_TM_VL_1218"
"";"seed";1;"ITA_TM_VL_1824"
"2008";"Jan";1.53846153846154;"ITA_TM_VL_1824"
"2008";"Feb";1.12820512820513;"ITA_TM_VL_1824"
"2008";"Mar";1.02564102564103;"ITA_TM_VL_1824"
"2008";"Apr";1.33333333333333;"ITA_TM_VL_1824"
"2008";"May";1.23076923076923;"ITA_TM_VL_1824"
"2008";"Jun";0.615384615384615;"ITA_TM_VL_1824"
"2008";"Jul";1.53846153846154;"ITA_TM_VL_1824"
"2008";"Aug";0;"ITA_TM_VL_1824"
"2008";"Sep";0.82051282051282;"ITA_TM_VL_1824"
"2008";"Oct";1.02564102564103;"ITA_TM_VL_1824"
"2008";"Nov";0.923076923076923;"ITA_TM_VL_1824"
"2008";"Dec";0.82051282051282;"ITA_TM_VL_1824"
"2009";"Jan";1.11512047780934;"ITA_TM_VL_1824"
"2009";"Feb";0.876166089707336;"ITA_TM_VL_1824"
"2009";"Mar";1.19477194051;"ITA_TM_VL_1824"
"2009";"Apr";1.06649430395088;"ITA_TM_VL_1824"
"2009";"May";1.31260837409339;"ITA_TM_VL_1824"
"2009";"Jun";1.5587224442359;"ITA_TM_VL_1824"
"2009";"Jul";1.64076046761673;"ITA_TM_VL_1824"
"2009";"Aug";0;"ITA_TM_VL_1824"
"2009";"Sep";0.82604831542377;"ITA_TM_VL_1824"
